scenario,t,bid,cumulative_cost,remaining_budget
generous,1,0.0,0.0,1600.0
generous,51,0.7000000000000001,2.9000000000000004,1597.1000000000001
generous,101,0.5,8.5,1591.5000000000002
generous,151,0.4,14.600000000000001,1585.4000000000003
generous,201,0.1,18.5,1581.5000000000007
generous,251,0.4,21.5,1578.5000000000007
generous,301,0.30000000000000004,24.000000000000004,1576.0000000000007
generous,351,0.1,30.1,1569.900000000001
generous,401,0.1,35.1,1564.900000000001
generous,451,0.30000000000000004,38.60000000000001,1561.4000000000012
generous,501,0.4,43.7,1556.3000000000013
generous,551,0.7000000000000001,45.2,1554.8000000000013
generous,601,0.5,51.2,1548.8000000000015
generous,651,0.1,55.30000000000001,1544.7000000000019
generous,701,0.30000000000000004,59.60000000000001,1540.4000000000021
generous,751,0.8,63.2,1536.8000000000022
generous,801,0.2,67.4,1532.6000000000022
generous,851,0.7000000000000001,73.9,1526.1000000000022
generous,901,0.4,80.70000000000002,1519.3000000000022
generous,951,0.4,83.60000000000001,1516.4000000000021
generous,1001,0.5,88.5,1511.500000000002
generous,1051,0.5,95.60000000000001,1504.4000000000021
generous,1101,0.2,99.30000000000001,1500.7000000000023
generous,1151,0.6000000000000001,106.0,1494.0000000000025
generous,1201,0.5,112.10000000000001,1487.9000000000026
generous,1251,0.5,115.5,1484.5000000000025
generous,1301,0.8,122.60000000000002,1477.4000000000028
generous,1351,0.7000000000000001,129.60000000000002,1470.4000000000026
generous,1401,0.7000000000000001,134.70000000000002,1465.300000000003
generous,1451,0.6000000000000001,139.3,1460.7000000000035
generous,1501,0.2,144.20000000000002,1455.8000000000034
generous,1551,0.2,149.40000000000003,1450.6000000000033
generous,1601,0.5,154.8,1445.2000000000035
generous,1651,0.5,163.0,1437.0000000000036
generous,1701,0.0,168.0,1432.0000000000036
generous,1751,0.30000000000000004,171.8,1428.2000000000037
generous,1801,0.4,174.9,1425.1000000000038
generous,1851,0.30000000000000004,178.30000000000004,1421.700000000004
generous,1901,0.6000000000000001,187.40000000000003,1412.600000000004
generous,1951,0.30000000000000004,191.40000000000003,1408.600000000004
generous,2001,0.6000000000000001,195.7,1404.300000000004
generous,2051,0.5,200.8,1399.2000000000041
generous,2101,0.30000000000000004,207.3,1392.7000000000044
generous,2151,0.30000000000000004,211.3,1388.7000000000041
generous,2201,0.6000000000000001,217.3,1382.7000000000041
generous,2251,0.6000000000000001,223.20000000000002,1376.800000000004
generous,2301,0.4,227.7,1372.3000000000045
generous,2351,0.4,232.4,1367.6000000000047
generous,2401,0.5,237.70000000000002,1362.3000000000043
generous,2451,0.1,243.0,1357.000000000004
generous,2501,0.4,245.3,1354.7000000000041
generous,2551,0.6000000000000001,249.60000000000005,1350.4000000000044
generous,2601,0.7000000000000001,254.5,1345.5000000000043
generous,2651,0.6000000000000001,258.0,1342.0000000000043
generous,2701,0.6000000000000001,264.00000000000006,1336.0000000000043
generous,2751,0.6000000000000001,267.9,1332.1000000000042
generous,2801,0.30000000000000004,273.20000000000005,1326.8000000000045
generous,2851,0.7000000000000001,278.6,1321.4000000000044
generous,2901,0.2,284.1000000000001,1315.9000000000046
generous,2951,0.5,289.6,1310.4000000000046
generous,3001,0.5,295.6,1304.4000000000049
generous,3051,0.4,301.20000000000005,1298.800000000005
generous,3101,0.1,307.6,1292.4000000000053
generous,3151,0.6000000000000001,313.8,1286.2000000000053
generous,3201,0.6000000000000001,318.20000000000005,1281.8000000000052
generous,3251,0.6000000000000001,322.70000000000005,1277.3000000000052
generous,3301,0.6000000000000001,329.5,1270.5000000000057
generous,3351,0.6000000000000001,335.4,1264.6000000000056
generous,3401,0.2,344.1,1255.9000000000062
generous,3451,0.5,346.50000000000006,1253.5000000000064
generous,3501,0.6000000000000001,353.20000000000005,1246.8000000000065
generous,3551,0.6000000000000001,356.50000000000006,1243.5000000000066
generous,3601,0.30000000000000004,362.4,1237.600000000007
generous,3651,0.6000000000000001,367.80000000000007,1232.2000000000073
generous,3701,0.6000000000000001,378.6,1221.4000000000085
generous,3751,0.30000000000000004,381.90000000000003,1218.1000000000085
generous,3801,0.7000000000000001,387.80000000000007,1212.200000000009
generous,3851,0.30000000000000004,391.5,1208.5000000000089
generous,3901,0.6000000000000001,395.20000000000005,1204.800000000009
generous,3951,0.6000000000000001,399.6,1200.4000000000092
generous,4001,0.0,401.8,1198.200000000009
generous,4051,0.30000000000000004,408.80000000000007,1191.200000000009
generous,4101,0.4,416.0,1184.0000000000089
generous,4151,0.30000000000000004,422.0,1178.0000000000089
generous,4201,0.2,427.6,1172.4000000000094
generous,4251,0.5,433.80000000000007,1166.2000000000096
generous,4301,0.7000000000000001,435.8,1164.2000000000096
generous,4351,0.1,442.90000000000003,1157.1000000000097
generous,4401,0.7000000000000001,445.0,1155.0000000000098
generous,4451,0.1,448.5,1151.50000000001
generous,4501,0.6000000000000001,455.1,1144.9000000000103
generous,4551,0.7000000000000001,458.90000000000003,1141.1000000000104
generous,4601,0.6000000000000001,464.6,1135.4000000000106
generous,4651,0.8,471.5,1128.5000000000105
generous,4701,0.5,474.90000000000003,1125.1000000000104
generous,4751,0.4,476.80000000000007,1123.2000000000105
generous,4801,0.7000000000000001,479.50000000000006,1120.5000000000105
generous,4851,0.7000000000000001,484.70000000000005,1115.3000000000104
generous,4901,0.4,492.4,1107.6000000000106
generous,4951,0.4,498.1,1101.9000000000106
generous,5001,0.6000000000000001,502.3,1097.7000000000107
generous,5051,0.7000000000000001,508.6,1091.4000000000106
generous,5101,0.2,515.1,1084.9000000000103
generous,5151,0.4,521.8000000000001,1078.200000000011
generous,5201,0.7000000000000001,528.5,1071.5000000000111
generous,5251,0.1,531.5,1068.5000000000111
generous,5301,0.8,535.0,1065.0000000000111
generous,5351,0.5,540.6000000000001,1059.400000000011
generous,5401,0.5,542.8000000000001,1057.200000000011
generous,5451,0.1,550.0000000000001,1050.000000000011
generous,5501,0.6000000000000001,556.5,1043.5000000000114
generous,5551,0.4,560.7,1039.3000000000109
generous,5601,0.5,564.9000000000001,1035.1000000000108
generous,5651,0.1,571.6,1028.400000000011
generous,5701,0.5,576.8,1023.200000000011
generous,5751,0.0,583.7,1016.3000000000106
generous,5801,0.0,592.4000000000001,1007.6000000000104
generous,5851,0.4,601.8,998.2000000000099
generous,5901,0.1,606.0000000000001,994.0000000000099
generous,5951,0.6000000000000001,612.5,987.5000000000098
generous,6001,0.4,618.6,981.4000000000096
generous,6051,0.6000000000000001,627.3000000000001,972.7000000000095
generous,6101,0.4,631.9000000000001,968.1000000000092
generous,6151,0.6000000000000001,638.2,961.8000000000093
generous,6201,0.6000000000000001,642.8000000000002,957.2000000000093
generous,6251,0.2,649.3000000000001,950.7000000000091
generous,6301,0.1,652.5,947.5000000000093
generous,6351,0.30000000000000004,656.7,943.3000000000094
generous,6401,0.1,660.6000000000001,939.4000000000094
generous,6451,0.7000000000000001,662.4000000000001,937.6000000000093
generous,6501,0.1,665.3000000000001,934.7000000000094
generous,6551,0.6000000000000001,671.5,928.5000000000093
generous,6601,0.4,678.1,921.9000000000093
generous,6651,0.5,683.8000000000001,916.2000000000094
generous,6701,0.5,688.1000000000001,911.9000000000093
generous,6751,0.1,692.4000000000001,907.6000000000091
generous,6801,0.6000000000000001,696.4000000000001,903.600000000009
generous,6851,0.6000000000000001,703.9000000000001,896.1000000000087
generous,6901,0.8,707.9000000000001,892.1000000000085
generous,6951,0.1,714.3000000000001,885.7000000000085
generous,7001,0.0,717.7,882.3000000000086
generous,7051,0.30000000000000004,722.7,877.3000000000085
generous,7101,0.0,727.6000000000001,872.4000000000085
generous,7151,0.6000000000000001,733.5000000000001,866.5000000000083
generous,7201,0.7000000000000001,739.6,860.4000000000082
generous,7251,0.30000000000000004,748.5000000000001,851.5000000000078
generous,7301,0.7000000000000001,753.5000000000001,846.5000000000078
generous,7351,0.7000000000000001,758.4000000000001,841.6000000000079
generous,7401,0.6000000000000001,766.7,833.3000000000078
generous,7451,0.7000000000000001,773.4000000000001,826.6000000000078
generous,7501,0.7000000000000001,779.2,820.8000000000077
generous,7551,0.5,786.0,814.0000000000075
generous,7601,0.7000000000000001,792.2,807.8000000000071
generous,7651,0.4,797.8000000000001,802.2000000000071
generous,7701,0.4,801.4000000000001,798.600000000007
generous,7751,0.4,809.0000000000001,791.0000000000069
generous,7801,0.30000000000000004,814.4000000000001,785.6000000000067
generous,7851,0.5,820.0000000000001,780.0000000000067
generous,7901,0.6000000000000001,824.5,775.5000000000065
generous,7951,0.6000000000000001,831.3000000000001,768.7000000000062
generous,8001,0.4,837.4000000000001,762.6000000000062
generous,8051,0.2,842.3,757.700000000006
generous,8101,0.2,849.7,750.3000000000058
generous,8151,0.1,855.6000000000001,744.4000000000058
generous,8201,0.5,862.0,738.0000000000057
generous,8251,0.30000000000000004,865.3000000000001,734.7000000000057
generous,8301,0.1,870.5000000000001,729.5000000000057
generous,8351,0.8,878.4000000000001,721.6000000000054
generous,8401,0.8,882.2,717.8000000000054
generous,8451,0.4,885.5000000000001,714.5000000000053
generous,8501,0.1,890.5000000000001,709.5000000000053
generous,8551,0.30000000000000004,895.6000000000001,704.4000000000053
generous,8601,0.30000000000000004,898.9000000000001,701.1000000000053
generous,8651,0.6000000000000001,901.9000000000001,698.1000000000053
generous,8701,0.5,907.3000000000001,692.700000000005
generous,8751,0.0,911.9000000000001,688.1000000000049
generous,8801,0.7000000000000001,916.6,683.4000000000048
generous,8851,0.8,923.1000000000001,676.9000000000045
generous,8901,0.5,926.6,673.4000000000045
generous,8951,0.30000000000000004,931.3000000000002,668.7000000000046
generous,9001,0.6000000000000001,933.8000000000001,666.2000000000045
generous,9051,0.7000000000000001,936.6000000000001,663.4000000000045
generous,9101,0.5,940.3000000000002,659.7000000000045
generous,9151,0.4,942.4000000000001,657.6000000000046
generous,9201,0.2,947.2,652.8000000000045
generous,9251,0.6000000000000001,951.7,648.3000000000045
generous,9301,0.7000000000000001,955.0000000000001,645.0000000000045
generous,9351,0.5,961.7,638.3000000000044
generous,9401,0.7000000000000001,968.3000000000002,631.7000000000043
generous,9451,0.30000000000000004,972.9000000000001,627.1000000000043
generous,9501,0.1,978.4000000000001,621.6000000000041
generous,9551,0.30000000000000004,984.7,615.3000000000042
generous,9601,0.2,991.9000000000001,608.1000000000041
generous,9651,0.7000000000000001,995.9000000000001,604.1000000000039
generous,9701,0.2,1000.3000000000002,599.700000000004
generous,9751,0.2,1005.3000000000002,594.7000000000039
generous,9801,0.5,1007.5,592.5000000000039
generous,9851,0.0,1012.3000000000002,587.7000000000037
generous,9901,0.1,1018.7,581.3000000000036
generous,9951,0.7000000000000001,1022.9000000000001,577.1000000000034
tight,1,0.0,0.0,400.0
tight,51,0.7000000000000001,2.1,397.9
tight,101,0.30000000000000004,4.2,395.79999999999995
tight,151,0.5,7.300000000000001,392.69999999999993
tight,201,0.2,9.100000000000001,390.8999999999999
tight,251,0.1,10.900000000000002,389.0999999999999
tight,301,0.2,12.700000000000001,387.29999999999995
tight,351,0.0,13.700000000000003,386.29999999999995
tight,401,0.30000000000000004,15.700000000000003,384.29999999999995
tight,451,0.30000000000000004,16.800000000000004,383.19999999999993
tight,501,0.0,19.400000000000006,380.5999999999999
tight,551,0.0,21.1,378.8999999999999
tight,601,0.1,24.300000000000004,375.69999999999993
tight,651,0.7000000000000001,27.300000000000004,372.69999999999993
tight,701,0.0,29.600000000000005,370.3999999999999
tight,751,0.6000000000000001,30.700000000000006,369.2999999999999
tight,801,0.4,33.7,366.2999999999999
tight,851,0.5,36.300000000000004,363.6999999999999
tight,901,0.0,37.5,362.4999999999999
tight,951,0.30000000000000004,37.900000000000006,362.0999999999999
tight,1001,0.30000000000000004,38.70000000000001,361.29999999999995
tight,1051,0.30000000000000004,42.900000000000006,357.0999999999999
tight,1101,0.30000000000000004,44.5,355.4999999999999
tight,1151,0.2,47.60000000000001,352.39999999999986
tight,1201,0.5,49.50000000000001,350.49999999999983
tight,1251,0.4,51.7,348.29999999999984
tight,1301,0.7000000000000001,53.50000000000001,346.49999999999983
tight,1351,0.30000000000000004,56.500000000000014,343.49999999999983
tight,1401,0.0,59.00000000000001,340.9999999999998
tight,1451,0.4,60.50000000000001,339.49999999999983
tight,1501,0.0,63.60000000000001,336.39999999999986
tight,1551,0.4,66.20000000000002,333.79999999999984
tight,1601,0.0,68.5,331.49999999999983
tight,1651,0.5,72.30000000000001,327.6999999999998
tight,1701,0.0,73.5,326.49999999999983
tight,1751,0.6000000000000001,74.10000000000001,325.8999999999998
tight,1801,0.30000000000000004,74.1,325.8999999999998
tight,1851,0.8,78.9,321.0999999999998
tight,1901,0.4,82.60000000000001,317.3999999999998
tight,1951,0.7000000000000001,84.80000000000001,315.1999999999998
tight,2001,0.7000000000000001,85.9,314.0999999999998
tight,2051,0.4,87.9,312.0999999999998
tight,2101,0.2,89.60000000000001,310.3999999999998
tight,2151,0.5,91.9,308.0999999999998
tight,2201,0.2,93.60000000000001,306.3999999999998
tight,2251,0.4,95.30000000000001,304.6999999999998
tight,2301,0.1,96.4,303.5999999999998
tight,2351,0.0,98.9,301.0999999999998
tight,2401,0.30000000000000004,100.30000000000001,299.6999999999998
tight,2451,0.2,102.00000000000001,297.99999999999983
tight,2501,0.2,102.5,297.49999999999983
tight,2551,0.4,105.10000000000001,294.8999999999998
tight,2601,0.30000000000000004,108.80000000000001,291.19999999999976
tight,2651,0.8,111.4,288.59999999999974
tight,2701,0.0,114.70000000000002,285.2999999999997
tight,2751,0.1,116.60000000000001,283.3999999999997
tight,2801,0.2,118.10000000000002,281.8999999999997
tight,2851,0.5,120.9,279.0999999999997
tight,2901,0.2,123.50000000000001,276.49999999999966
tight,2951,0.1,126.50000000000001,273.4999999999996
tight,3001,0.30000000000000004,127.60000000000001,272.3999999999996
tight,3051,0.30000000000000004,129.9,270.09999999999957
tight,3101,0.5,132.3,267.69999999999953
tight,3151,0.5,134.10000000000002,265.8999999999995
tight,3201,0.1,136.20000000000002,263.7999999999995
tight,3251,0.0,138.10000000000002,261.8999999999995
tight,3301,0.1,140.10000000000002,259.8999999999995
tight,3351,0.5,143.8,256.1999999999995
tight,3401,0.30000000000000004,146.5,253.4999999999995
tight,3451,0.1,148.40000000000003,251.59999999999948
tight,3501,0.30000000000000004,149.8,250.19999999999948
tight,3551,0.1,150.6,249.39999999999947
tight,3601,0.0,151.8,248.19999999999948
tight,3651,0.4,153.70000000000002,246.29999999999947
tight,3701,0.1,156.90000000000003,243.09999999999948
tight,3751,0.30000000000000004,157.5,242.49999999999946
tight,3801,0.1,159.70000000000002,240.29999999999947
tight,3851,0.30000000000000004,161.20000000000002,238.79999999999947
tight,3901,0.2,162.5,237.4999999999995
tight,3951,0.4,163.3,236.69999999999948
tight,4001,0.1,164.60000000000002,235.39999999999947
tight,4051,0.0,167.4,232.59999999999948
tight,4101,0.30000000000000004,169.3,230.6999999999995
tight,4151,0.4,170.0,229.9999999999995
tight,4201,0.0,171.0,228.9999999999995
tight,4251,0.4,171.5,228.4999999999995
tight,4301,0.5,171.5,228.4999999999995
tight,4351,0.4,173.3,226.6999999999995
tight,4401,0.2,173.7,226.2999999999995
tight,4451,0.0,174.5,225.4999999999995
tight,4501,0.7000000000000001,176.60000000000002,223.3999999999995
tight,4551,0.30000000000000004,178.8,221.1999999999995
tight,4601,0.30000000000000004,181.20000000000002,218.7999999999995
tight,4651,0.5,183.0,216.9999999999995
tight,4701,0.0,185.3,214.6999999999995
tight,4751,0.5,185.90000000000003,214.0999999999995
tight,4801,0.2,186.90000000000003,213.0999999999995
tight,4851,0.8,189.5,210.49999999999952
tight,4901,0.2,192.20000000000002,207.79999999999953
tight,4951,0.0,195.9,204.09999999999954
tight,5001,0.4,199.8,200.19999999999956
tight,5051,0.2,199.8,200.19999999999956
tight,5101,0.7000000000000001,202.40000000000003,197.59999999999957
tight,5151,0.6000000000000001,204.20000000000005,195.79999999999959
tight,5201,0.30000000000000004,207.0,192.99999999999957
tight,5251,0.0,207.5,192.49999999999957
tight,5301,0.5,208.20000000000002,191.79999999999959
tight,5351,0.4,209.50000000000003,190.4999999999996
tight,5401,0.0,210.40000000000003,189.5999999999996
tight,5451,0.2,211.90000000000003,188.0999999999996
tight,5501,0.30000000000000004,213.60000000000002,186.3999999999996
tight,5551,0.7000000000000001,215.0,184.9999999999996
tight,5601,0.30000000000000004,218.60000000000002,181.3999999999996
tight,5651,0.1,220.3,179.69999999999962
tight,5701,0.4,222.90000000000003,177.09999999999962
tight,5751,0.1,224.70000000000002,175.29999999999964
tight,5801,0.0,226.5,173.49999999999963
tight,5851,0.5,229.20000000000005,170.79999999999964
tight,5901,0.2,230.40000000000003,169.59999999999962
tight,5951,0.1,233.10000000000002,166.89999999999964
tight,6001,0.4,234.70000000000002,165.29999999999964
tight,6051,0.30000000000000004,236.40000000000003,163.59999999999962
tight,6101,0.4,239.00000000000003,160.9999999999996
tight,6151,0.4,242.40000000000003,157.59999999999962
tight,6201,0.30000000000000004,243.40000000000003,156.59999999999962
tight,6251,0.4,246.50000000000003,153.49999999999963
tight,6301,0.4,248.20000000000005,151.79999999999964
tight,6351,0.4,250.0,149.99999999999966
tight,6401,0.0,251.60000000000002,148.39999999999966
tight,6451,0.4,252.10000000000002,147.89999999999966
tight,6501,0.0,254.40000000000003,145.59999999999965
tight,6551,0.2,255.40000000000003,144.59999999999965
tight,6601,0.30000000000000004,258.40000000000003,141.59999999999968
tight,6651,0.4,260.0,139.9999999999997
tight,6701,0.30000000000000004,261.0,138.9999999999997
tight,6751,0.2,262.80000000000007,137.19999999999968
tight,6801,0.0,265.1,134.8999999999997
tight,6851,0.30000000000000004,267.70000000000005,132.2999999999997
tight,6901,0.7000000000000001,269.6,130.3999999999997
tight,6951,0.1,271.3,128.6999999999997
tight,7001,0.4,274.40000000000003,125.5999999999997
tight,7051,0.5,276.8,123.1999999999997
tight,7101,0.30000000000000004,279.4,120.59999999999971
tight,7151,0.5,281.5,118.49999999999972
tight,7201,0.0,283.5,116.49999999999972
tight,7251,0.2,286.0,113.99999999999973
tight,7301,0.5,289.1,110.89999999999974
tight,7351,0.0,291.70000000000005,108.29999999999974
tight,7401,0.30000000000000004,294.6,105.39999999999975
tight,7451,0.5,295.20000000000005,104.79999999999976
tight,7501,0.5,298.30000000000007,101.69999999999976
tight,7551,0.4,299.7,100.29999999999977
tight,7601,0.4,300.30000000000007,99.69999999999978
tight,7651,0.2,302.70000000000005,97.29999999999978
tight,7701,0.30000000000000004,302.70000000000005,97.29999999999978
tight,7751,0.4,306.3,93.69999999999978
tight,7801,0.30000000000000004,308.6,91.39999999999978
tight,7851,0.2,310.3,89.69999999999978
tight,7901,0.6000000000000001,310.30000000000007,89.69999999999978
tight,7951,0.6000000000000001,314.5,85.49999999999979
tight,8001,0.4,316.70000000000005,83.29999999999978
tight,8051,0.5,319.5,80.49999999999979
tight,8101,0.30000000000000004,322.0,77.9999999999998
tight,8151,0.6000000000000001,325.4,74.59999999999981
tight,8201,0.0,327.40000000000003,72.59999999999982
tight,8251,0.0,328.5,71.49999999999982
tight,8301,0.30000000000000004,332.50000000000006,67.49999999999983
tight,8351,0.0,334.9,65.09999999999984
tight,8401,0.30000000000000004,336.1,63.89999999999984
tight,8451,0.6000000000000001,338.5,61.49999999999984
tight,8501,0.2,339.90000000000003,60.09999999999984
tight,8551,0.2,342.3,57.69999999999983
tight,8601,0.4,343.7,56.299999999999834
tight,8651,0.1,343.70000000000005,56.299999999999834
tight,8701,0.1,344.20000000000005,55.799999999999834
tight,8751,0.1,346.0,53.99999999999983
tight,8801,0.6000000000000001,349.1,50.89999999999982
tight,8851,0.6000000000000001,350.8,49.19999999999982
tight,8901,0.0,351.20000000000005,48.79999999999982
tight,8951,0.30000000000000004,351.6,48.39999999999982
tight,9001,0.5,352.80000000000007,47.199999999999825
tight,9051,0.5,353.70000000000005,46.29999999999983
tight,9101,0.0,355.5,44.49999999999983
tight,9151,0.4,355.9,44.09999999999983
tight,9201,0.30000000000000004,358.1,41.89999999999983
tight,9251,0.1,359.00000000000006,40.99999999999983
tight,9301,0.5,362.1,37.89999999999983
tight,9351,0.5,363.3,36.699999999999825
tight,9401,0.4,367.0,32.99999999999983
tight,9451,0.4,367.00000000000006,32.99999999999983
tight,9501,0.5,368.30000000000007,31.69999999999983
tight,9551,0.5,372.20000000000005,27.799999999999823
tight,9601,0.6000000000000001,373.90000000000003,26.09999999999982
tight,9651,0.1,375.80000000000007,24.199999999999818
tight,9701,0.30000000000000004,379.0,20.99999999999982
tight,9751,0.6000000000000001,380.6,19.39999999999982
tight,9801,0.1,382.5,17.49999999999982
tight,9851,0.5,384.70000000000005,15.299999999999821
tight,9901,0.4,386.20000000000005,13.799999999999821
tight,9951,0.1,387.30000000000007,12.699999999999822
